male,male,male,male,male,female,female,female,female,female
beard,suit,father,hansome,sailor,girl,mother,beautiful,nurse,housekeeper
handsome,brave,strong ,funny,manly,mother,sister,woman,grandma,housewife
workers,males,fathers,grandfather,masculine,lovely,weak,shy,long-hair,lady
extroverted,strong,robust,pillar,calm,skirt,nurse,beauty,fairy,lady
muscular,waiter,strong ,man,boy,beautiful,kind ,breast,daughter,maternal
father,son,grandson,grandfather,fellow,beauty,sexy,care,reproduction,housewife
smart,handsome,brave,strong,great,makeup,skirt,wairtress,petite,beautiful
musculine,handsome,brave,resolute,fearless,maternal,makeup,kind,sensitive,lovely
smoking,beard,Adam's-apple?,testicles,gay,ladies,considerate,care,breast,sister
tall,strong,masculine,responsible,powerful,housekeeper,housewife,nurse,waitress,beauty
handsome,gentleman,masculine,father,force,gentle,maternal,breautiful,pretty,sexy
brother,short-hair,masculine,war,strong,love,long-hair,makeup,housekeeper,spoiled
father,son,generous,brave,beard,unsafe,charm,twinkle,self-confidence,smart
brother,masculine,sailor,robust,fearless,skirt,lady,woman,femme,womanhood
handsome,brave,beard,waiter,fellow,womanhood,womanliness,femme,maternal,beautiful
smoking,masculine,handsome,father,waiter,charm,Miss,femme,maternal,shy
grandfather,brave,handsome,strong,beard,nurse,Ms,housekeeper,charm,housewife
musculine,brother,sailor,father,beard,beautiful,skirt,female,femininty,charm
