Asia,Asia,Asia,Europe,Europe,Europe,America,America,America,Africa,Africa,Africa,Oceania,Oceania,Oceania
yellow-skin,temples,ancient,freedom,art,technology,wild,plain,mysterious,black,poor,wild,kangaroo,primitive,vast
China,Japan,Korea,England,France,Germany,USA,Canada,Latin-America,lion,elephant,giraffe,Australia,Sydney,Canberra
yellow-skin,short,bright,white-skin,tall,fashion,Mexico,English,hip-hop,backward,hot,primitive,southern-hemisphere,kangaroo,wild
rice,wheat,peace,advanced,welfare,capitalism,gun,black-white,open,black,hot,culture,iron,Australia,colonization
dragon,rice,wheat,Christ,Sweden,Germany,blonde,USA,colonial,poor,desert,famine,islands,comfortable,slow-rhythm
yellow-skin,clever,maths,refugee,holy,developed,immigrant,slaves,technology,backward,hot,desert,platypus,wild,iron
wide,ancient,China,white-skin,freedom,art,USA,Brazil,imbalance,illness,poor,primitive,mineral,ore,Australia
Korea,Singapore,Japan,Eiffel-Tower?,romance,royal,dollar,USA,white-skin,wild,plain,beast,southern-hemisphere,kangaroo,koalas
competiton,slanted-eye,feudal,rich,relax,welfare,apex,freedom,open,danger,mystery,primitive,ocean,islands,desert
diversity,temples,bright,NATO,WWII,industrial,technology,hip-hop,mixed,poor,tiger,black,vast,sunny,koala
Jacky-Chen,yellow-skin,hard-working,religion,royal,Christ,black-white,freedom,USA,beast,slave,famine,islands,ocean,kangaroo
wise,bear,introvert,rich,gentleman,progress,Indian,equality,Christ,backward,hot,desert,Australia,islands,ocean
yelllow-skin,oriental,traditional,civilization,developed,open,chaos,technology,imbalance,wild,black,lion,southern-hemisphere,Australia,comfortable
hard-working,rice,ancient,England,romance,classical,democracy,open,Canada,poor,illness,black,Mayflower,ocean,islands
mystery,diversity,ancient,football,sacred,freedom,freedom,colonial,gun,desert,famine,poor,vast,kangaroo,mineral
China,Japan,culture,art,technology,whit-skin,blonde,USA,technology,slave,hot,resource,ore,southern-hemisphere,Australia
yellow-skin,oriental,rice,advanced,capitalism,romance,immigrant,colonial,gun,illness,vast,backward,desert,kangaroo,mineral
hard-working,China,technology,religion,sacred,art,USA,wild,plain,black,hot,famine,ore,mineral,iron
ancient,wheat,bright,freedom,tall,music,mysterious,freedom,open,black,poor,hot,vast,ocean,kangaroo
expansivedragon,dragon,communism,Mediterranean,Germany,refugee,colonial,USA,freedom,poor,famine,vast,ocean,iron,mineral
wide,temples,yellow-skin,EU,developed,freedom,immigrant,hip-hop,black-white,plain,black,slave,mineral,ore,ocean
ancient,wise,dragon,holy,technology,freedom,Brazil,wild,technology,resource,hot,black,southern-hemisphere,ore,mineral
